symbol,article_count
ACB,211
F,25113
GE,2113
MSFT,736
GPRO,5
AAPL,1041
FIT,33988
DIS,1066
PLUG,6971
AMD,2823
SNAP,8062
CRON,299
CGC,159
HEXO,70
TSLA,612
CHK,89
INO,141
FB,1066
BAC,306
UBER,5384
ZNGA,15
BABA,806
TWTR,176
NIO,184
AMZN,946
T,39805
SBUX,144
GRPN,45
APHA,82
S,95029
NVDA,302
NFLX,182
SPCE,148
KO,2190
VSLR,18
VOO,52
NOK,186
SQ,1287
BYND,102
SIRI,1279
V,26217
CPRX,0
WORK,227967
LYFT,1713
NKE,110
SPY,5710
FCEL,25
NTDOY,7
MRNA,643
CRBP,2
INTC,220
OGI,39
BA,1985
GM,4596
ATVI,59
GLUU,15
NRZ,47
AAL,222
AUY,25
TLRY,78
CSCO,214
DAL,1422
MU,713
LK,241
BRK-B,116
TCEHY,27
VKTX,11
ROKU,1301
VTI,43
PENN,3182
PYPL,68
MJ,897
PFE,132
DNR,141
CRM,1315
XOM,250
GOOGL,359
SNE,90
WMT,279
PCG,104
OPK,18
VZ,146
NVAX,65
ENPH,51
PINS,1751
SHOP,25822
SPHD,4
CCL,347
ZM,159
COST,75359
GILD,242
IQ,1289
PTON,40
BILI,20
DBX,204
JD,1405
TWLO,31
CRSP,27
ABBV,123
SDC,105
