Symbol,article_count
ACB,211
F,25027
GE,2105
MSFT,733
GPRO,5
AAPL,1036
FIT,33914
DIS,1063
PLUG,6955
AMD,2818
SNAP,8047
CRON,297
CGC,159
HEXO,70
TSLA,609
CHK,89
INO,141
FB,1063
BAC,302
UBER,5381
ZNGA,15
BABA,805
TWTR,175
NIO,183
AMZN,944
T,39708
SBUX,144
APHA,82
GRPN,45
S,94794
NVDA,302
NFLX,181
SPCE,148
KO,2187
VSLR,18
VOO,52
NOK,186
SQ,1284
BYND,102
SIRI,1274
V,26143
WORK,227487
CPRX,0
LYFT,1713
NKE,110
SPY,5706
NTDOY,7
FCEL,25
MRNA,637
CRBP,2
INTC,218
BA,1978
OGI,39
ATVI,59
GLUU,15
GM,4588
NRZ,47
AUY,25
TLRY,78
CSCO,213
MU,706
LK,241
TCEHY,27
BRK-B,114
VKTX,11
ROKU,1296
DAL,1418
VTI,43
PENN,3173
PYPL,68
OPK,17
AAL,220
MJ,897
PFE,132
CRM,1314
DNR,141
GOOGL,357
SNE,90
WMT,279
PCG,103
VZ,146
XOM,250
ENPH,51
PINS,1750
SHOP,25783
SPHD,4
NVAX,65
COST,75202
IQ,1289
GILD,241
BILI,20
PTON,40
ZM,157
DBX,204
JD,1402
CRSP,27
TWLO,31
ABBV,122
SDC,103
LLNW,3
